Date,Price,Open,High,Low,Vol.,Change %
04-01-2010,49.16,48.01,49.67,47.74,8.57M,2.40%
05-01-2010,48.42,49.59,49.59,48.28,9.66M,-1.51%
06-01-2010,47.69,48.49,48.98,47.44,11.66M,-1.51%
07-01-2010,46.76,47.66,48.14,46.39,11.07M,-1.95%
08-01-2010,47.55,46.76,48.04,46.76,6.87M,1.69%
11-01-2010,47.43,47.81,48.49,47.18,6.00M,-0.25%
12-01-2010,47.4,47.47,48.26,46.95,8.60M,-0.06%
13-01-2010,47.57,47.74,48.53,46.95,9.64M,0.36%
14-01-2010,47.27,48.04,48.18,47.07,11.10M,-0.63%
15-01-2010,46.63,47.38,47.78,46.45,5.77M,-1.35%
18-01-2010,46.71,47.47,47.47,46.48,2.67M,0.17%
19-01-2010,45.74,46.72,47.54,45.55,5.40M,-2.08%
20-01-2010,43.62,45.7,46.23,43.46,12.00M,-4.63%
21-01-2010,43.3,44.17,44.32,42.78,5.49M,-0.73%
22-01-2010,43.19,42.3,43.43,41.09,5.60M,-0.25%
25-01-2010,43.03,43.43,43.43,42.02,2.52M,-0.37%
27-01-2010,41.88,42.66,42.83,41.3,5.55M,-2.67%
28-01-2010,40.96,42.68,42.81,40.28,10.59M,-2.20%
29-01-2010,40.85,40.79,41.39,39.81,7.84M,-0.27%
01-02-2010,44.12,41.38,44.57,41.15,11.07M,8.00%
02-02-2010,42.73,44.39,44.75,41.83,12.86M,-3.15%
03-02-2010,43.81,43.06,44.17,42.46,7.17M,2.53%
04-02-2010,44.04,44.28,45.32,43.66,14.77M,0.52%
05-02-2010,42.92,43.81,44.04,42.38,7.16M,-2.54%
06-02-2010,43.7,43.13,44.26,43.13,907.44K,1.82%
08-02-2010,43.29,44.11,44.23,42.31,5.06M,-0.94%
09-02-2010,42.34,42.86,43.41,42.12,4.24M,-2.19%
10-02-2010,43.26,42.56,43.78,42.33,8.53M,2.17%
11-02-2010,42.77,43.81,44.17,42.39,9.60M,-1.13%
15-02-2010,42.12,42.68,42.81,41.7,3.93M,-1.52%
16-02-2010,43.05,42.3,43.35,42,2.83M,2.21%
17-02-2010,42.61,43.37,43.43,42.48,4.31M,-1.02%
18-02-2010,44.66,42.98,46.3,42.38,26.68M,4.81%
19-02-2010,44.05,43.81,45.39,43.45,10.73M,-1.37%
22-02-2010,44.74,44.19,45.08,43.54,8.57M,1.57%
23-02-2010,43.75,44.49,45.32,43.66,10.16M,-2.21%
24-02-2010,43.96,43.43,44.34,43.43,3.92M,0.48%
25-02-2010,42.83,43.96,44.18,42.45,11.47M,-2.57%
26-02-2010,42.6,43.24,45.01,42.18,18.77M,-0.54%
02-03-2010,40.86,43.13,43.13,40.68,11.48M,-4.08%
03-03-2010,40.93,40.94,41.53,40.64,5.58M,0.17%
04-03-2010,40.4,40.87,41.09,40.24,10.75M,-1.29%
05-03-2010,40.81,40.55,40.98,40.55,9.07M,1.01%
08-03-2010,40.93,41.02,41.68,40.5,6.79M,0.29%
09-03-2010,40.52,41.24,41.51,40.41,9.87M,-1.00%
10-03-2010,40.57,40.56,41.09,40.5,6.29M,0.12%
11-03-2010,40.04,40.49,40.71,39.67,7.09M,-1.31%
12-03-2010,39.79,40.49,40.49,39.51,5.19M,-0.62%
15-03-2010,39.9,40.56,40.71,39.3,4.68M,0.28%
16-03-2010,41.19,40.03,41.32,39.96,6.38M,3.23%
17-03-2010,40.64,41.32,41.45,40.51,5.98M,-1.34%
18-03-2010,39.79,39.66,41,39.48,5.89M,-2.09%
19-03-2010,39.48,40.03,40.11,39.28,6.82M,-0.78%
22-03-2010,39.09,38.98,40.01,38.9,7.04M,-0.99%
23-03-2010,38.64,40.01,40.41,38.41,12.52M,-1.15%
