"Date","Price","Open","High","Low","Vol.","Change %"
"04-01-2010","84.88","84.60","86.02","84.23","6.10M","0.20%"
"05-01-2010","84.96","85.10","85.84","84.85","16.77M","0.09%"
"06-01-2010","85.02","85.30","85.60","84.01","13.28M","0.07%"
"07-01-2010","85.24","88.00","88.00","84.68","12.25M","0.26%"
"08-01-2010","85.35","85.20","85.77","84.65","14.17M","0.13%"
"11-01-2010","85.01","87.02","87.02","84.73","27.53M","-0.40%"
"12-01-2010","84.36","85.00","85.19","83.54","9.81M","-0.76%"
"13-01-2010","84.07","83.85","84.34","82.89","20.69M","-0.35%"
"14-01-2010","83.79","85.10","85.29","83.11","20.35M","-0.33%"
"15-01-2010","84.31","84.52","84.55","83.16","23.16M","0.61%"
"18-01-2010","87.92","84.10","88.48","83.71","47.00M","4.28%"
"19-01-2010","88.54","87.84","89.02","87.23","33.33M","0.71%"
"20-01-2010","87.39","88.83","89.08","86.74","27.30M","-1.30%"
"21-01-2010","85.18","87.63","87.63","84.85","25.05M","-2.53%"
"22-01-2010","83.46","84.40","84.60","82.31","18.95M","-2.02%"
"25-01-2010","82.45","82.61","83.50","81.18","12.06M","-1.22%"
"27-01-2010","79.48","82.66","82.66","78.97","24.22M","-3.59%"
"28-01-2010","79.29","80.12","80.57","78.47","34.86M","-0.25%"
"29-01-2010","81.17","78.63","81.47","77.26","32.87M","2.37%"
"01-02-2010","79.61","81.02","81.02","78.88","15.03M","-1.92%"
"02-02-2010","78.58","79.97","80.37","78.23","20.67M","-1.29%"
"03-02-2010","80.76","79.62","81.24","78.53","15.46M","2.76%"
"04-02-2010","80.46","80.52","80.86","78.90","17.21M","-0.37%"
"05-02-2010","78.30","79.52","79.52","77.88","18.69M","-2.68%"
"06-02-2010","78.42","79.10","79.10","78.00","844.76K","0.16%"
"08-02-2010","78.00","78.88","79.07","77.09","15.18M","-0.53%"
"09-02-2010","78.21","77.97","78.52","77.21","23.95M","0.27%"
"10-02-2010","79.30","78.38","80.49","77.83","27.73M","1.39%"
"11-02-2010","79.52","79.82","81.27","79.13","14.54M","0.28%"
"15-02-2010","80.31","79.47","80.60","78.75","9.60M","0.99%"
"16-02-2010","79.94","79.87","80.75","79.13","14.35M","-0.46%"
"17-02-2010","82.41","80.52","82.66","80.37","24.80M","3.08%"
"18-02-2010","83.79","82.85","84.10","82.15","20.01M","1.68%"
"19-02-2010","84.30","83.11","84.60","82.42","14.69M","0.60%"
"22-02-2010","84.43","84.65","85.58","84.10","13.28M","0.16%"
"23-02-2010","84.65","83.86","85.04","83.72","12.95M","0.26%"
"24-02-2010","84.63","84.10","85.10","83.98","11.21M","-0.03%"
"25-02-2010","84.16","84.65","84.80","83.70","11.67M","-0.56%"
"26-02-2010","84.84","84.10","86.33","83.61","18.70M","0.81%"
"02-03-2010","86.84","85.80","87.39","84.90","15.43M","2.36%"
"03-03-2010","88.42","86.72","88.63","86.72","22.30M","1.82%"
"04-03-2010","88.64","88.33","88.93","87.24","27.03M","0.25%"
"05-03-2010","88.78","88.86","89.33","88.13","20.90M","0.16%"
"08-03-2010","88.79","90.07","90.07","88.23","14.75M","0.01%"
"09-03-2010","90.13","88.33","90.32","88.33","24.80M","1.51%"
"10-03-2010","90.30","90.17","90.57","86.09","29.92M","0.18%"
"11-03-2010","90.92","90.37","91.32","89.73","15.49M","0.69%"
"12-03-2010","89.64","90.92","91.09","88.90","14.94M","-1.41%"
"15-03-2010","90.20","88.58","90.57","88.58","15.03M","0.63%"
"16-03-2010","89.81","89.83","90.07","87.79","20.87M","-0.44%"
"17-03-2010","89.96","89.81","90.81","89.48","9.59M","0.17%"
"18-03-2010","89.62","90.19","90.19","89.10","7.00M","-0.38%"
"19-03-2010","90.57","90.31","90.81","89.46","12.68M","1.05%"
"22-03-2010","91.42","89.68","92.31","89.48","30.61M","0.95%"
"23-03-2010","93.76","91.32","94.06","91.32","20.31M","2.55%"
"25-03-2010","95.86","93.56","96.05","93.07","46.59M","2.24%"
"26-03-2010","97.11","96.10","97.82","95.21","23.11M","1.31%"
"29-03-2010","97.79","81.06","99.03","81.06","26.45M","0.70%"
"30-03-2010","94.89","97.79","98.03","94.62","18.74M","-2.96%"
"31-03-2010","96.22","94.55","96.69","94.42","13.65M","1.40%"
"01-04-2010","96.51","97.04","97.04","95.85","14.82M","0.30%"
"05-04-2010","96.97","97.48","97.52","95.77","14.25M","0.48%"
"06-04-2010","96.19","97.04","97.04","95.82","8.84M","-0.80%"
"07-04-2010","96.13","96.54","96.94","95.85","10.76M","-0.06%"
"08-04-2010","94.69","96.04","96.04","94.25","12.48M","-1.50%"
"09-04-2010","97.01","94.08","97.39","94.08","12.42M","2.45%"
"12-04-2010","97.25","96.48","97.93","96.48","9.14M","0.25%"
"13-04-2010","97.13","97.04","97.68","96.10","12.68M","-0.13%"
"15-04-2010","97.39","97.29","98.28","96.75","19.09M","0.27%"
"16-04-2010","97.75","96.79","98.26","95.85","10.47M","0.37%"
"19-04-2010","96.25","97.04","97.48","95.85","12.24M","-1.53%"
"20-04-2010","96.77","96.00","97.39","96.00","10.88M","0.54%"
"21-04-2010","96.59","96.99","97.54","96.30","7.89M","-0.18%"
"22-04-2010","96.25","96.48","98.04","94.95","13.79M","-0.35%"
"23-04-2010","97.13","96.30","97.39","95.98","10.63M","0.91%"
"26-04-2010","99.01","97.43","99.38","97.43","15.80M","1.94%"
"27-04-2010","98.51","98.98","99.33","97.93","8.97M","-0.51%"
"28-04-2010","97.95","97.44","98.87","97.44","11.42M","-0.58%"
"29-04-2010","98.82","98.13","99.28","96.87","18.79M","0.89%"
"30-04-2010","99.55","99.43","100.03","98.68","14.22M","0.74%"
"03-05-2010","98.03","98.78","98.78","97.64","10.01M","-1.53%"
"04-05-2010","96.40","98.77","98.77","96.16","9.18M","-1.67%"
"05-05-2010","95.37","96.15","96.23","93.56","16.03M","-1.07%"
"06-05-2010","94.33","94.80","95.35","93.41","10.52M","-1.09%"
"07-05-2010","91.97","93.11","93.31","91.37","19.57M","-2.50%"
"10-05-2010","96.26","92.72","96.44","91.07","12.85M","4.66%"
"11-05-2010","96.96","96.44","97.29","95.21","13.93M","0.73%"
"12-05-2010","98.28","96.99","98.58","96.99","13.74M","1.37%"
"13-05-2010","97.81","98.59","99.28","97.05","12.74M","-0.48%"
"14-05-2010","97.13","97.74","98.19","96.66","9.40M","-0.69%"
"17-05-2010","95.99","96.64","96.88","95.28","13.21M","-1.17%"
"18-05-2010","94.34","95.45","95.80","94.07","12.24M","-1.71%"
"19-05-2010","92.99","93.51","93.96","91.65","18.18M","-1.44%"
"20-05-2010","92.11","93.26","93.38","91.38","6.78M","-0.94%"
"21-05-2010","90.90","90.57","92.07","89.63","11.00M","-1.32%"
"24-05-2010","90.80","91.33","92.94","90.13","9.62M","-0.11%"
