"Date","Price","Open","High","Low","Vol.","Change %"
"04-01-2010","84.08","83.86","84.53","82.99","5.16M","1.14%"
"05-01-2010","84.91","84.46","85.11","83.76","10.77M","0.99%"
"06-01-2010","85.11","85.75","85.75","84.06","7.53M","0.24%"
"07-01-2010","84.84","85.19","85.69","84.10","4.99M","-0.32%"
"08-01-2010","85.02","84.64","85.69","84.64","4.88M","0.21%"
"11-01-2010","85.06","85.36","86.02","84.86","7.20M","0.05%"
"12-01-2010","82.89","85.11","85.11","82.57","15.51M","-2.55%"
"13-01-2010","82.52","82.54","83.45","81.88","12.48M","-0.45%"
"14-01-2010","82.26","83.04","83.17","81.88","12.32M","-0.32%"
"15-01-2010","83.78","82.89","83.93","81.91","7.84M","1.85%"
"18-01-2010","83.05","83.80","84.29","82.87","5.64M","-0.87%"
"19-01-2010","82.84","83.33","83.33","82.31","6.30M","-0.25%"
"20-01-2010","81.91","82.87","83.37","81.63","10.43M","-1.12%"
"21-01-2010","81.05","82.04","82.92","80.38","11.73M","-1.05%"
"22-01-2010","82.57","80.55","84.10","79.97","46.26M","1.88%"
"25-01-2010","84.56","82.87","84.96","82.06","15.80M","2.41%"
"27-01-2010","84.83","84.03","85.87","83.86","35.55M","0.32%"
"28-01-2010","84.28","85.09","85.19","82.39","19.60M","-0.65%"
"29-01-2010","82.92","84.03","85.11","82.57","15.77M","-1.61%"
"01-02-2010","81.71","82.87","83.71","81.44","12.62M","-1.46%"
"02-02-2010","81.01","82.89","82.89","80.57","10.82M","-0.86%"
"03-02-2010","83.73","81.21","84.48","80.71","13.89M","3.36%"
"04-02-2010","83.98","83.53","84.44","82.74","12.12M","0.30%"
"05-02-2010","82.32","83.53","83.96","81.88","18.62M","-1.98%"
"06-02-2010","82.22","82.21","82.74","81.94","477.02K","-0.12%"
"08-02-2010","81.33","82.21","82.27","79.79","23.41M","-1.08%"
"09-02-2010","80.85","81.34","81.81","80.47","12.08M","-0.59%"
"10-02-2010","80.85","81.11","81.54","80.25","8.56M","0.00%"
"11-02-2010","81.92","81.23","82.17","81.15","6.95M","1.32%"
"15-02-2010","82.65","82.37","82.87","81.25","6.49M","0.89%"
"16-02-2010","82.92","83.12","83.37","82.24","6.12M","0.33%"
"17-02-2010","83.45","83.04","83.76","82.69","7.89M","0.64%"
"18-02-2010","82.29","83.60","83.78","81.71","4.01M","-1.39%"
"19-02-2010","82.37","82.64","83.00","81.48","6.00M","0.10%"
"22-02-2010","82.07","82.79","83.12","81.58","6.52M","-0.36%"
"23-02-2010","82.62","82.07","82.85","81.48","7.21M","0.67%"
"24-02-2010","82.09","82.32","83.02","81.81","8.54M","-0.64%"
"25-02-2010","82.07","82.50","82.70","81.44","14.31M","-0.02%"
"26-02-2010","76.99","82.37","83.67","75.84","70.06M","-6.19%"
"02-03-2010","80.20","77.93","80.95","77.90","29.08M","4.17%"
"03-03-2010","80.78","80.38","81.63","79.01","13.05M","0.72%"
"04-03-2010","81.56","81.84","81.88","80.55","12.87M","0.97%"
"05-03-2010","81.13","81.88","81.88","80.55","8.29M","-0.53%"
"08-03-2010","83.28","81.46","83.52","81.38","22.48M","2.65%"
"09-03-2010","83.22","83.45","84.11","82.74","9.54M","-0.07%"
"10-03-2010","84.28","83.78","84.61","82.99","11.96M","1.27%"
"11-03-2010","84.74","84.20","85.49","83.40","8.75M","0.55%"
"12-03-2010","85.67","85.19","86.32","84.61","16.75M","1.10%"
"15-03-2010","85.97","85.64","86.75","85.64","15.36M","0.35%"
"16-03-2010","86.12","86.25","86.50","84.28","7.48M","0.17%"
"17-03-2010","87.13","86.12","87.64","85.74","12.14M","1.17%"
"18-03-2010","86.60","87.18","87.74","85.75","6.49M","-0.61%"
"19-03-2010","86.62","86.35","87.26","85.90","7.73M","0.02%"
"22-03-2010","86.71","85.97","86.81","85.31","8.91M","0.10%"
"23-03-2010","86.50","86.35","87.08","84.92","9.99M","-0.24%"
"25-03-2010","87.76","86.53","88.32","86.12","17.24M","1.46%"
"26-03-2010","87.64","87.76","88.17","86.88","8.88M","-0.14%"
"29-03-2010","89.23","87.64","89.83","86.93","12.65M","1.81%"
"30-03-2010","89.12","89.27","90.46","88.74","7.99M","-0.12%"
"31-03-2010","87.20","89.43","89.43","86.71","15.05M","-2.15%"
"01-04-2010","87.51","87.51","88.45","87.21","5.66M","0.36%"
"05-04-2010","87.78","88.74","89.07","87.54","7.34M","0.31%"
"06-04-2010","88.26","87.78","88.70","87.21","9.67M","0.55%"
"07-04-2010","89.32","87.96","89.50","87.34","8.73M","1.20%"
"08-04-2010","88.75","88.84","89.15","88.29","6.26M","-0.64%"
"09-04-2010","89.25","88.77","89.66","88.07","8.40M","0.56%"
"12-04-2010","89.96","89.50","90.39","88.62","7.87M","0.80%"
"13-04-2010","89.04","90.69","90.73","88.87","4.83M","-1.02%"
"15-04-2010","87.10","89.52","89.73","86.60","11.89M","-2.18%"
"16-04-2010","89.20","86.22","89.45","86.22","8.87M","2.41%"
"19-04-2010","87.79","88.84","90.76","86.96","7.86M","-1.58%"
"20-04-2010","87.25","88.34","88.41","86.52","8.33M","-0.62%"
"21-04-2010","87.00","87.51","87.83","86.63","5.48M","-0.29%"
"22-04-2010","87.59","86.68","88.62","86.35","13.17M","0.68%"
"23-04-2010","88.49","87.74","88.82","86.88","4.99M","1.03%"
"26-04-2010","88.64","88.17","89.80","87.87","5.37M","0.17%"
"27-04-2010","89.35","88.84","89.78","88.02","5.87M","0.80%"
"28-04-2010","89.48","88.54","90.29","88.12","10.55M","0.15%"
"29-04-2010","88.55","89.96","89.96","88.01","10.19M","-1.04%"
"30-04-2010","88.12","88.84","89.07","87.84","6.86M","-0.49%"
"03-05-2010","87.83","86.60","88.37","86.60","7.01M","-0.33%"
"04-05-2010","86.95","86.91","88.17","86.52","4.73M","-1.00%"
"05-05-2010","86.90","82.87","87.38","82.87","6.92M","-0.06%"
"06-05-2010","85.87","81.21","87.01","81.21","5.81M","-1.19%"
"07-05-2010","85.90","84.20","86.50","84.06","8.69M","0.03%"
"10-05-2010","86.78","84.49","87.16","84.49","14.89M","1.02%"
"11-05-2010","86.04","85.37","87.28","85.37","9.94M","-0.85%"
"12-05-2010","87.86","83.70","88.14","83.70","5.34M","2.12%"
"13-05-2010","88.34","88.50","88.84","87.43","6.07M","0.55%"
"14-05-2010","88.89","87.18","90.49","87.18","8.91M","0.62%"
"17-05-2010","88.22","88.17","89.13","87.84","7.17M","-0.75%"
"18-05-2010","89.05","87.86","89.33","86.63","4.78M","0.94%"
"19-05-2010","85.92","88.99","88.99","85.52","8.93M","-3.51%"
"20-05-2010","86.98","85.64","87.96","85.19","12.63M","1.23%"
"21-05-2010","89.93","86.18","90.92","85.31","36.16M","3.39%"
"24-05-2010","88.85","91.16","91.32","88.02","14.96M","-1.20%"
"25-05-2010","86.35","88.67","89.57","85.75","21.12M","-2.81%"
"26-05-2010","89.20","86.86","89.48","86.55","11.09M","3.30%"
"27-05-2010","91.45","89.33","92.35","88.60","29.18M","2.52%"
"28-05-2010","93.87","92.15","94.14","91.45","16.86M","2.65%"
"31-05-2010","93.87","95.37","95.37","92.55","11.48M","0.00%"
"01-06-2010","93.81","94.60","94.79","93.31","9.58M","-0.06%"
"02-06-2010","93.24","94.14","94.40","92.57","8.11M","-0.61%"
"03-06-2010","94.64","93.81","95.08","93.64","7.47M","1.50%"
"04-06-2010","96.41","95.75","96.73","91.82","9.57M","1.87%"
"07-06-2010","95.37","94.47","95.83","94.47","6.60M","-1.08%"
"08-06-2010","96.03","96.36","96.99","94.99","9.18M","0.69%"
"09-06-2010","92.02","95.27","95.27","91.52","11.89M","-4.18%"
"10-06-2010","92.83","92.48","93.39","91.22","10.57M","0.88%"
"11-06-2010","93.33","95.80","95.80","93.03","8.46M","0.54%"
"14-06-2010","94.84","93.71","95.07","93.34","8.42M","1.62%"
"15-06-2010","96.69","94.80","97.02","94.50","9.38M","1.95%"
"16-06-2010","96.43","97.69","97.69","95.52","11.82M","-0.27%"
"17-06-2010","97.42","96.46","98.42","95.85","13.33M","1.03%"
"18-06-2010","97.75","97.79","99.21","97.02","15.59M","0.34%"
"21-06-2010","99.15","98.35","99.44","96.79","13.89M","1.43%"
"22-06-2010","100.04","98.78","100.69","98.53","9.38M","0.90%"
"23-06-2010","100.39","99.44","100.84","99.19","9.28M","0.35%"
"24-06-2010","101.35","100.44","102.06","99.48","20.71M","0.96%"
"25-06-2010","99.92","101.32","102.06","99.51","7.90M","-1.41%"
"28-06-2010","98.66","99.77","100.60","98.45","6.45M","-1.26%"
"29-06-2010","98.23","98.98","99.11","97.47","5.04M","-0.44%"
"30-06-2010","101.25","97.12","101.50","97.12","13.85M","3.07%"
"01-07-2010","100.44","101.03","101.03","99.53","5.11M","-0.80%"
"02-07-2010","100.29","101.10","101.42","100.04","4.19M","-0.15%"
"05-07-2010","100.16","100.24","100.94","99.44","4.30M","-0.13%"
"06-07-2010","100.40","100.17","100.54","99.81","4.54M","0.24%"
"07-07-2010","100.11","100.47","100.59","99.44","6.04M","-0.29%"
"08-07-2010","100.49","100.77","101.22","100.07","5.59M","0.38%"
"09-07-2010","99.56","100.49","101.03","99.19","5.97M","-0.93%"
"12-07-2010","99.43","100.11","100.11","99.21","6.98M","-0.13%"
"13-07-2010","99.15","99.43","99.91","97.89","14.03M","-0.28%"
"14-07-2010","98.95","99.49","100.16","98.66","13.91M","-0.20%"
"15-07-2010","99.48","98.95","99.77","98.86","9.17M","0.54%"
"16-07-2010","98.90","99.61","99.63","98.32","11.57M","-0.58%"
"19-07-2010","96.58","98.58","99.43","96.13","9.79M","-2.35%"
"20-07-2010","96.61","96.79","97.26","96.16","4.30M","0.03%"
"21-07-2010","96.91","97.07","98.12","96.41","11.56M","0.31%"
"22-07-2010","98.68","88.31","98.96","88.31","21.79M","1.83%"
"23-07-2010","99.99","99.44","100.34","98.86","19.65M","1.33%"
"26-07-2010","100.34","100.11","100.50","99.43","6.79M","0.35%"
"27-07-2010","100.85","101.76","101.76","100.44","5.36M","0.51%"
"28-07-2010","101.88","101.27","102.18","100.50","10.15M","1.02%"
"29-07-2010","102.79","101.76","103.39","101.45","11.64M","0.89%"
"30-07-2010","102.34","102.68","103.37","101.43","11.09M","-0.44%"
"02-08-2010","103.69","102.46","103.90","102.43","16.66M","1.32%"
"03-08-2010","102.36","105.21","105.21","101.93","8.47M","-1.28%"
"04-08-2010","102.96","102.10","104.08","100.47","8.11M","0.59%"
"05-08-2010","103.29","103.22","104.22","102.33","5.97M","0.32%"
"06-08-2010","105.24","103.42","106.07","103.29","5.98M","1.89%"
"09-08-2010","105.38","105.41","106.21","104.68","4.00M","0.13%"
"10-08-2010","104.25","105.71","105.71","103.32","7.11M","-1.07%"
"11-08-2010","102.73","103.42","104.08","102.33","4.89M","-1.46%"
"12-08-2010","101.40","101.10","103.32","100.80","7.29M","-1.29%"
"13-08-2010","103.59","101.43","104.08","101.40","7.22M","2.16%"
"16-08-2010","104.91","104.48","105.41","103.42","4.36M","1.27%"
"17-08-2010","105.77","105.41","106.27","103.92","8.29M","0.82%"
"18-08-2010","107.73","107.07","108.06","105.44","12.32M","1.85%"
"19-08-2010","109.59","107.73","110.25","107.73","12.46M","1.73%"
"20-08-2010","107.86","109.45","109.72","107.43","8.91M","-1.58%"
"23-08-2010","105.74","107.40","107.86","105.48","5.71M","-1.97%"
"24-08-2010","105.97","105.77","106.93","105.14","5.19M","0.22%"
"25-08-2010","106.40","106.01","106.90","105.97","6.60M","0.41%"
"26-08-2010","108.66","106.74","109.49","106.74","16.28M","2.12%"
"27-08-2010","106.87","108.79","109.62","106.31","5.48M","-1.65%"
"30-08-2010","105.61","108.06","108.29","105.14","4.58M","-1.18%"
"31-08-2010","108.16","106.27","108.72","105.08","13.19M","2.41%"
"01-09-2010","108.16","108.89","108.92","107.27","7.24M","0.00%"
"02-09-2010","109.69","108.59","109.95","108.16","7.36M","1.41%"
"03-09-2010","108.72","109.85","109.85","107.63","6.09M","-0.88%"
"06-09-2010","109.92","109.29","110.91","108.59","10.60M","1.10%"
"07-09-2010","110.18","110.05","110.88","109.26","8.55M","0.24%"
"08-09-2010","108.92","109.49","109.98","108.23","6.02M","-1.14%"
"09-09-2010","107.63","109.79","109.79","107.00","7.40M","-1.18%"
"13-09-2010","108.19","108.29","109.26","107.47","6.54M","0.52%"
"14-09-2010","109.52","108.00","110.18","107.27","11.28M","1.23%"
"15-09-2010","111.14","108.96","111.38","108.39","10.37M","1.48%"
"16-09-2010","110.98","110.71","112.30","110.42","6.88M","-0.14%"
"17-09-2010","111.61","111.28","112.21","110.28","11.38M","0.57%"
"20-09-2010","117.11","112.04","118.01","111.38","20.78M","4.93%"
"21-09-2010","114.46","117.91","118.87","113.63","24.21M","-2.26%"
"22-09-2010","115.82","113.60","116.55","113.60","10.95M","1.19%"
"23-09-2010","117.01","115.98","117.97","114.63","9.54M","1.03%"
"24-09-2010","118.83","117.84","119.90","117.14","13.32M","1.56%"
"27-09-2010","118.27","119.60","119.73","117.54","11.84M","-0.47%"
"28-09-2010","118.27","118.60","119.33","116.88","10.90M","0.00%"
"29-09-2010","115.09","118.34","119.53","114.69","10.05M","-2.69%"
"30-09-2010","118.21","115.22","119.33","113.96","24.46M","2.71%"
"01-10-2010","118.44","118.60","119.33","116.88","15.38M","0.19%"
"04-10-2010","116.18","119.33","120.53","115.95","12.97M","-1.91%"
"05-10-2010","115.22","116.68","117.28","115.02","12.48M","-0.83%"
"06-10-2010","114.63","116.78","117.31","113.23","10.79M","-0.51%"
"07-10-2010","113.96","115.22","115.62","113.50","11.79M","-0.58%"
"08-10-2010","114.33","114.03","114.92","112.44","11.29M","0.32%"
"11-10-2010","114.66","115.25","115.65","113.60","7.47M","0.29%"
"12-10-2010","113.33","113.96","114.56","112.14","7.68M","-1.16%"
"13-10-2010","116.08","114.69","116.58","113.03","16.06M","2.43%"
"14-10-2010","116.05","117.14","117.24","115.25","7.07M","-0.03%"
"15-10-2010","114.00","116.68","116.68","113.60","6.71M","-1.77%"
"18-10-2010","113.73","114.03","114.59","110.78","12.77M","-0.24%"
"19-10-2010","113.03","113.83","114.86","112.11","8.87M","-0.62%"
"20-10-2010","111.38","112.21","113.56","111.05","8.68M","-1.46%"
"21-10-2010","115.59","112.60","116.02","110.91","6.66M","3.78%"
"22-10-2010","113.50","115.42","115.69","112.84","5.04M","-1.81%"
"25-10-2010","112.14","114.86","114.96","111.77","10.28M","-1.20%"
"26-10-2010","113.86","112.93","114.92","112.11","9.18M","1.53%"
"27-10-2010","111.28","113.86","113.96","110.85","7.46M","-2.27%"
"28-10-2010","110.75","112.14","113.83","109.39","34.66M","-0.48%"
"29-10-2010","113.50","112.11","113.96","109.85","27.59M","2.48%"
"01-11-2010","113.93","114.36","115.02","113.27","12.80M","0.38%"
"02-11-2010","114.96","114.16","115.35","113.37","6.94M","0.90%"
"03-11-2010","116.38","115.35","117.41","115.35","14.42M","1.24%"
