"Date","Price","Open","High","Low","Vol.","Change %"
"04-01-2010","6,142.95","6,081.00","6,215.00","6,032.00","18.74K","1.60%"
"05-01-2010","6,160.60","6,200.00","6,269.00","6,150.00","17.95K","0.29%"
"06-01-2010","6,090.40","6,180.00","6,198.00","6,055.00","10.74K","-1.14%"
"07-01-2010","6,216.20","6,249.90","6,371.00","6,151.00","42.21K","2.07%"
"08-01-2010","6,166.85","6,243.30","6,294.40","6,150.00","11.16K","-0.79%"
"11-01-2010","6,158.60","6,199.00","6,252.00","6,150.00","9.39K","-0.13%"
"12-01-2010","6,084.35","6,194.40","6,194.40","6,060.00","7.29K","-1.21%"
"13-01-2010","6,107.10","6,085.00","6,145.00","6,048.00","7.55K","0.37%"
"14-01-2010","6,440.80","6,167.80","6,485.00","6,131.15","59.56K","5.46%"
"15-01-2010","6,406.10","6,498.70","6,549.50","6,380.00","28.72K","-0.54%"
"18-01-2010","6,370.45","6,449.40","6,498.95","6,325.00","14.07K","-0.56%"
"19-01-2010","6,294.15","6,382.00","6,460.00","6,275.00","10.46K","-1.20%"
"20-01-2010","6,185.00","6,351.00","6,352.85","6,150.00","7.79K","-1.73%"
"21-01-2010","6,102.25","6,185.00","6,240.00","6,090.00","6.88K","-1.34%"
"22-01-2010","6,050.15","6,110.00","6,149.00","6,010.00","10.73K","-0.85%"
"25-01-2010","6,042.35","6,089.75","6,120.00","6,021.00","4.31K","-0.13%"
"27-01-2010","5,662.20","6,059.90","6,117.80","5,555.00","16.18K","-6.29%"
"28-01-2010","5,762.75","5,757.00","5,919.00","5,685.05","20.89K","1.78%"
"29-01-2010","5,802.95","5,705.00","5,839.00","5,700.90","12.64K","0.70%"
"01-02-2010","6,057.25","5,794.40","6,124.00","5,770.00","15.39K","4.38%"
"02-02-2010","5,965.15","6,130.00","6,225.00","5,930.00","14.18K","-1.52%"
"03-02-2010","5,962.90","6,039.40","6,082.00","5,933.10","9.08K","-0.04%"
"04-02-2010","5,813.30","5,999.00","6,068.00","5,789.00","6.90K","-2.51%"
"05-02-2010","5,720.25","5,700.00","5,780.00","5,650.50","7.85K","-1.60%"
"06-02-2010","5,764.40","5,770.00","5,791.00","5,740.50","1.31K","0.77%"
"08-02-2010","5,819.15","5,758.00","5,850.00","5,701.00","6.32K","0.95%"
"09-02-2010","6,025.55","5,820.00","6,074.00","5,795.00","17.23K","3.55%"
"10-02-2010","5,901.90","6,070.00","6,080.00","5,852.75","7.97K","-2.05%"
"11-02-2010","5,876.85","5,950.00","5,993.30","5,851.00","4.37K","-0.42%"
"15-02-2010","5,841.80","5,965.00","5,966.95","5,810.00","3.58K","-0.60%"
"16-02-2010","5,784.45","5,880.00","5,900.00","5,770.00","6.17K","-0.98%"
"17-02-2010","5,829.60","5,847.90","5,900.00","5,810.05","5.08K","0.78%"
"18-02-2010","5,785.15","5,829.00","5,860.00","5,770.00","3.45K","-0.76%"
"19-02-2010","5,744.30","5,750.00","5,789.95","5,710.10","3.50K","-0.71%"
"22-02-2010","5,745.70","5,799.00","5,839.00","5,715.15","7.67K","0.02%"
"23-02-2010","5,696.20","5,730.00","5,774.80","5,675.00","4.30K","-0.86%"
"24-02-2010","5,614.55","5,680.00","5,680.00","5,600.00","3.96K","-1.43%"
"25-02-2010","5,614.35","5,630.05","5,657.00","5,600.00","2.91K","0.00%"
"26-02-2010","5,659.60","5,620.00","5,765.00","5,580.00","6.57K","0.81%"
"02-03-2010","5,817.90","5,739.95","5,865.00","5,703.00","7.72K","2.80%"
"03-03-2010","5,855.80","5,850.00","5,925.00","5,830.00","4.80K","0.65%"
"04-03-2010","6,287.35","5,800.00","6,350.00","5,800.00","46.65K","7.37%"
"05-03-2010","6,121.20","6,300.20","6,329.00","6,100.00","17.97K","-2.64%"
"08-03-2010","6,237.15","5,297.00","6,276.00","5,297.00","17.52K","1.89%"
"09-03-2010","6,301.50","6,120.00","6,418.70","6,120.00","25.31K","1.03%"
"10-03-2010","6,293.90","6,276.00","6,390.00","6,251.00","11.05K","-0.12%"
"11-03-2010","6,318.85","6,351.00","6,351.00","6,275.00","9.86K","0.40%"
"12-03-2010","6,358.80","6,338.00","6,435.00","6,290.10","15.99K","0.63%"
"15-03-2010","6,266.90","6,394.40","6,394.40","6,230.00","7.64K","-1.45%"
"16-03-2010","6,501.85","6,280.00","6,539.85","6,251.15","37.47K","3.75%"
"17-03-2010","6,369.40","6,535.00","6,549.00","6,338.30","14.13K","-2.04%"
"18-03-2010","7,094.90","6,370.00","7,244.85","6,312.05","140.61K","11.39%"
"19-03-2010","7,041.60","7,045.00","7,125.45","6,825.00","98.92K","-0.75%"
"22-03-2010","7,184.85","6,950.00","7,298.00","6,915.00","70.53K","2.03%"
"23-03-2010","7,159.30","7,200.00","7,318.00","7,110.00","29.86K","-0.36%"
"25-03-2010","7,087.00","7,159.30","7,229.00","7,036.10","18.18K","-1.01%"
"26-03-2010","6,964.65","7,101.00","7,160.00","6,910.00","11.59K","-1.73%"
"29-03-2010","6,881.55","7,015.00","7,050.00","6,805.00","10.21K","-1.19%"
"30-03-2010","6,800.30","6,948.00","6,974.00","6,780.00","9.64K","-1.18%"
"31-03-2010","6,784.35","6,845.00","6,862.00","6,760.00","7.77K","-0.23%"
"01-04-2010","6,899.50","6,845.00","6,968.00","6,804.00","15.00K","1.70%"
"05-04-2010","6,961.80","6,959.40","7,099.00","6,887.00","19.82K","0.90%"
"06-04-2010","6,893.00","6,951.00","7,019.40","6,870.00","6.63K","-0.99%"
"07-04-2010","7,209.75","6,939.00","7,249.00","6,900.55","61.37K","4.60%"
"08-04-2010","7,068.25","7,189.80","7,273.30","7,032.00","22.87K","-1.96%"
"09-04-2010","7,086.50","7,100.00","7,199.00","7,060.00","10.56K","0.26%"
"12-04-2010","7,045.40","7,134.90","7,148.00","7,011.10","5.54K","-0.58%"
"13-04-2010","7,193.95","7,074.40","7,360.00","7,050.05","28.95K","2.11%"
"15-04-2010","7,096.25","7,220.00","7,274.40","7,078.00","13.08K","-1.36%"
"16-04-2010","7,028.40","7,070.00","7,173.00","6,985.00","11.23K","-0.96%"
"19-04-2010","6,999.40","6,990.00","7,060.00","6,892.00","16.62K","-0.41%"
