"Date","Price","Open","High","Low","Vol.","Change %"
"04-01-2010","229.12","227.50","230.00","227.50","11.03M","0.98%"
"05-01-2010","229.21","230.80","231.00","228.01","11.61M","0.04%"
"06-01-2010","230.58","229.70","231.50","228.50","14.53M","0.60%"
"07-01-2010","229.29","230.60","231.00","228.11","8.58M","-0.56%"
"08-01-2010","228.60","229.40","230.39","228.01","10.45M","-0.30%"
"11-01-2010","226.72","229.70","231.27","226.32","14.15M","-0.82%"
"12-01-2010","220.32","226.70","227.00","219.62","22.92M","-2.82%"
"13-01-2010","217.59","219.50","219.50","215.81","21.72M","-1.24%"
"14-01-2010","215.74","218.80","219.90","214.56","20.72M","-0.85%"
"15-01-2010","214.34","216.80","217.84","213.68","20.61M","-0.65%"
"18-01-2010","215.64","217.50","218.31","214.28","19.22M","0.61%"
"19-01-2010","217.31","216.98","218.70","215.70","12.28M","0.77%"
"20-01-2010","215.99","218.40","218.66","215.25","16.83M","-0.61%"
"21-01-2010","212.41","215.90","216.13","211.23","19.27M","-1.66%"
"22-01-2010","208.74","210.01","210.65","205.31","27.19M","-1.73%"
"25-01-2010","209.16","205.56","213.70","205.56","15.38M","0.20%"
"27-01-2010","198.76","206.00","206.84","197.11","38.07M","-4.97%"
"28-01-2010","200.32","210.00","210.00","199.10","27.95M","0.78%"
"29-01-2010","205.66","199.00","206.74","195.50","46.49M","2.67%"
"01-02-2010","202.12","214.80","214.80","201.55","22.05M","-1.72%"
"02-02-2010","197.84","203.02","204.52","197.41","24.09M","-2.12%"
"03-02-2010","199.88","198.63","201.59","198.35","30.45M","1.03%"
"04-02-2010","194.79","199.60","199.67","194.00","35.36M","-2.55%"
"05-02-2010","189.78","193.00","193.00","186.31","26.88M","-2.57%"
"06-02-2010","191.25","191.00","192.44","189.82","2.10M","0.77%"
"08-02-2010","193.66","190.00","194.78","188.37","18.89M","1.26%"
"09-02-2010","195.03","193.10","195.80","192.50","13.84M","0.71%"
"10-02-2010","191.19","197.00","197.00","189.50","19.73M","-1.97%"
"11-02-2010","191.76","192.39","194.00","191.10","12.43M","0.30%"
"15-02-2010","189.50","192.50","192.50","188.63","13.33M","-1.18%"
"16-02-2010","192.06","191.40","192.50","189.50","8.07M","1.35%"
"17-02-2010","195.69","193.50","196.25","192.72","13.47M","1.89%"
"18-02-2010","194.24","195.79","196.00","192.73","13.10M","-0.74%"
"19-02-2010","190.53","192.50","193.40","189.00","15.86M","-1.91%"
"22-02-2010","191.63","192.00","193.50","191.01","11.53M","0.58%"
"23-02-2010","191.19","191.49","193.45","190.66","10.63M","-0.23%"
"24-02-2010","192.12","190.60","193.00","190.00","8.17M","0.49%"
"25-02-2010","191.37","192.50","193.00","190.34","21.62M","-0.39%"
"26-02-2010","197.43","192.50","203.20","191.50","43.22M","3.17%"
"02-03-2010","198.66","199.06","201.10","197.42","19.35M","0.62%"
"03-03-2010","202.24","198.91","202.59","198.91","15.84M","1.80%"
"04-03-2010","203.27","202.30","204.47","201.20","14.30M","0.51%"
"05-03-2010","204.72","204.50","205.90","202.11","12.69M","0.71%"
"08-03-2010","206.59","206.00","211.25","203.31","38.66M","0.91%"
"09-03-2010","204.46","203.25","207.80","203.25","14.31M","-1.03%"
"10-03-2010","203.72","205.02","205.02","202.64","12.77M","-0.36%"
"11-03-2010","204.57","204.00","205.28","201.83","11.98M","0.42%"
"12-03-2010","204.79","204.20","206.26","203.87","12.03M","0.11%"
"15-03-2010","201.51","203.95","204.47","201.11","9.00M","-1.60%"
"16-03-2010","201.59","201.71","202.50","199.76","12.86M","0.04%"
"17-03-2010","202.73","202.00","204.20","201.56","10.78M","0.57%"
"18-03-2010","202.97","203.00","205.05","201.05","14.27M","0.12%"
"19-03-2010","205.84","204.00","206.59","203.33","12.89M","1.41%"
"22-03-2010","204.09","202.51","205.38","201.00","11.15M","-0.85%"
"23-03-2010","204.85","204.20","205.66","201.86","13.65M","0.37%"
"25-03-2010","204.96","204.47","206.16","202.52","13.65M","0.05%"
"26-03-2010","207.28","205.49","207.80","204.50","13.42M","1.13%"
"29-03-2010","209.50","207.50","210.50","207.30","11.23M","1.07%"
"30-03-2010","208.25","209.50","212.19","207.50","11.93M","-0.60%"
"31-03-2010","207.82","208.50","209.89","207.34","10.00M","-0.21%"
"01-04-2010","210.26","208.00","210.80","207.53","7.68M","1.17%"
"05-04-2010","213.82","211.50","214.22","210.50","11.08M","1.69%"
"06-04-2010","212.35","214.39","214.78","211.21","12.36M","-0.69%"
"07-04-2010","211.09","213.03","213.50","209.60","13.00M","-0.59%"
"08-04-2010","209.59","210.50","210.98","208.75","11.50M","-0.71%"
"09-04-2010","210.61","210.00","212.50","209.35","12.37M","0.49%"
"12-04-2010","209.20","211.50","211.50","208.00","8.61M","-0.67%"
"13-04-2010","209.40","209.70","211.20","206.30","17.62M","0.10%"
"15-04-2010","205.41","209.66","210.91","204.80","13.02M","-1.91%"
"16-04-2010","204.77","205.00","205.49","202.53","9.47M","-0.31%"
