"Date","Price","Open","High","Low","Vol.","Change %"
"04-01-2010","413.85","411.10","414.50","396.00","4.64M","0.74%"
"05-01-2010","416.90","417.70","421.50","414.20","5.32M","0.74%"
"06-01-2010","412.45","418.15","420.80","410.00","3.89M","-1.07%"
"07-01-2010","407.80","413.80","416.75","406.30","4.39M","-1.13%"
"08-01-2010","404.20","408.70","410.50","401.00","2.94M","-0.88%"
"11-01-2010","413.95","406.20","416.00","404.75","4.48M","2.41%"
"12-01-2010","404.55","413.00","415.45","403.50","2.66M","-2.27%"
"13-01-2010","404.15","399.85","406.00","390.00","3.71M","-0.10%"
"14-01-2010","419.00","408.30","422.00","406.00","4.34M","3.67%"
"15-01-2010","411.40","423.00","424.00","409.60","3.12M","-1.81%"
"18-01-2010","409.90","409.00","414.50","406.60","2.72M","-0.36%"
"19-01-2010","406.15","417.20","419.00","405.00","3.21M","-0.91%"
"20-01-2010","404.15","409.60","410.70","401.00","2.83M","-0.49%"
"21-01-2010","387.85","402.50","404.70","384.60","4.05M","-4.03%"
"22-01-2010","385.60","380.00","393.85","373.95","4.83M","-0.58%"
"25-01-2010","373.60","384.40","384.40","371.10","3.34M","-3.11%"
"27-01-2010","354.60","370.10","374.70","348.15","7.84M","-5.09%"
"28-01-2010","353.40","360.10","368.70","350.35","4.43M","-0.34%"
"29-01-2010","346.75","349.80","353.90","332.15","4.54M","-1.88%"
"01-02-2010","365.25","343.70","368.00","338.20","5.01M","5.34%"
"02-02-2010","356.60","370.00","372.45","354.55","4.54M","-2.37%"
"03-02-2010","369.75","362.00","371.50","360.00","2.95M","3.69%"
"04-02-2010","360.45","368.00","369.85","359.10","2.92M","-2.52%"
"05-02-2010","345.55","345.00","351.65","340.00","3.51M","-4.13%"
"06-02-2010","353.10","349.00","355.75","347.10","308.66K","2.18%"
"08-02-2010","362.35","350.00","366.40","348.05","4.05M","2.62%"
"09-02-2010","360.40","363.90","363.90","352.40","3.79M","-0.54%"
"10-02-2010","367.70","362.00","370.90","362.00","4.45M","2.03%"
"11-02-2010","382.70","370.00","385.50","367.00","5.70M","4.08%"
"15-02-2010","379.80","385.00","388.00","376.75","3.90M","-0.76%"
"16-02-2010","377.00","381.00","383.50","372.05","3.20M","-0.74%"
"17-02-2010","387.10","380.90","388.45","378.05","3.45M","2.68%"
"18-02-2010","383.90","388.85","388.90","378.10","2.28M","-0.83%"
"19-02-2010","373.55","375.00","381.10","367.20","4.12M","-2.70%"
"22-02-2010","365.90","379.00","381.35","363.55","2.74M","-2.05%"
"23-02-2010","377.75","363.95","379.85","363.65","3.65M","3.24%"
"24-02-2010","377.00","373.00","381.90","368.25","3.36M","-0.20%"
"25-02-2010","380.85","379.60","383.95","372.70","4.17M","1.02%"
"26-02-2010","400.35","380.00","404.95","377.00","7.09M","5.12%"
"02-03-2010","417.65","405.00","419.95","405.00","5.01M","4.32%"
"03-03-2010","427.10","419.00","429.50","418.10","4.46M","2.26%"
"04-03-2010","456.65","428.00","460.00","425.20","11.53M","6.92%"
"05-03-2010","447.35","460.00","462.00","443.65","9.00M","-2.04%"
"08-03-2010","444.85","454.00","455.70","440.50","4.13M","-0.56%"
"09-03-2010","440.30","444.50","449.80","434.20","5.74M","-1.02%"
"10-03-2010","438.25","445.00","446.00","434.50","3.36M","-0.47%"
"11-03-2010","428.90","437.95","442.00","427.15","3.58M","-2.13%"
"12-03-2010","433.00","429.90","437.90","427.25","3.96M","0.96%"
"15-03-2010","437.45","432.00","444.40","428.95","4.42M","1.03%"
"16-03-2010","440.10","438.00","442.70","437.35","2.85M","0.61%"
"17-03-2010","444.95","442.00","450.45","442.00","3.63M","1.10%"
"18-03-2010","437.35","446.50","447.00","435.70","3.20M","-1.71%"
"19-03-2010","452.20","438.80","454.40","437.35","5.48M","3.40%"
"22-03-2010","445.25","400.00","463.95","400.00","6.89M","-1.54%"
"23-03-2010","448.85","449.00","454.00","445.65","4.15M","0.81%"
"25-03-2010","451.95","451.00","456.30","449.20","4.56M","0.69%"
"26-03-2010","455.40","454.00","458.80","450.50","2.34M","0.76%"
"29-03-2010","455.60","460.00","462.00","452.10","2.24M","0.04%"
"30-03-2010","457.35","458.00","460.00","452.40","8.29M","0.38%"
"31-03-2010","470.45","460.00","473.95","458.90","6.91M","2.86%"
"01-04-2010","470.40","471.00","477.40","465.10","3.68M","-0.01%"
"05-04-2010","474.10","480.00","480.00","469.00","2.08M","0.79%"
"06-04-2010","475.20","485.00","485.00","473.25","2.02M","0.23%"
"07-04-2010","480.00","477.00","483.90","474.50","3.42M","1.01%"
"08-04-2010","490.65","481.00","494.00","475.40","5.84M","2.22%"
"09-04-2010","468.75","495.00","495.00","465.00","6.86M","-4.46%"
"12-04-2010","456.05","470.00","472.50","454.20","5.69M","-2.71%"
"13-04-2010","455.95","455.15","467.65","454.30","4.31M","-0.02%"
"15-04-2010","458.10","457.00","465.00","456.00","3.30M","0.47%"
"16-04-2010","471.55","458.50","473.00","454.50","5.25M","2.94%"
"19-04-2010","459.35","467.00","473.90","456.40","10.05M","-2.59%"
"20-04-2010","456.20","465.00","467.85","455.10","6.29M","-0.69%"
"21-04-2010","461.75","461.20","465.80","458.00","3.28M","1.22%"
"22-04-2010","457.15","460.70","465.90","456.00","3.50M","-1.00%"
"23-04-2010","441.50","456.00","456.90","439.65","5.93M","-3.42%"
"26-04-2010","440.50","442.00","448.40","437.50","3.96M","-0.23%"
"27-04-2010","431.20","438.10","445.50","429.15","7.83M","-2.11%"
